tracker,seq,week,code,total_sold,total_units,teduh_name,note,block_note
johor,,2026-06-26,30635-1,1012,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
johor,,2026-07-03,30635-1,1018,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
johor,,2026-07-10,30635-1,1033,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
johor,,2026-07-17,30635-1,1037,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
johor,,2026-07-24,30635-1,1045,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
johor,,2026-07-31,30635-1,1050,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
johor,,2026-08-07,30635-1,1051,,,seeded from your report,"Latest sales - Phase 1: 666 units, Phase 2: 385 units"
johor,,2026-06-19,31007-1,843,,,seeded from your report,-
johor,,2026-06-26,31007-1,843,,,seeded from your report,-
johor,,2026-07-03,31007-1,843,,,seeded from your report,-
johor,,2026-07-10,31007-1,843,,,seeded from your report,-
johor,,2026-07-17,31007-1,843,,,seeded from your report,-
johor,,2026-07-24,31007-1,845,,,seeded from your report,-
johor,,2026-07-31,31007-1,845,,,seeded from your report,-
johor,,2026-08-07,31007-1,845,,,seeded from your report,-
johor,,2026-06-19,31100-1,1334,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-06-26,31100-1,1341,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-07-03,31100-1,1348,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-07-10,31100-1,1364,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-07-17,31100-1,1372,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-07-24,31100-1,1391,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-07-31,31100-1,1403,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-08-07,31100-1,1406,,,seeded from your report,"Open sale for Block A, B & D only. Block C (833 units) is not opened yet. Latest Sales - Block A: 439 units, Block B: 513 units, Block D: 454 units"
johor,,2026-06-19,31074-1,936,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-06-26,31074-1,943,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-07-03,31074-1,949,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-07-10,31074-1,963,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-07-17,31074-1,968,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-07-24,31074-1,976,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-07-31,31074-1,989,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-08-07,31074-1,990,,,seeded from your report,"Latest sale - Block A: 401 units, Block B: 365 units, Block C - 224 units"
johor,,2026-06-19,9600-6,610,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
johor,,2026-06-26,9600-6,616,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
johor,,2026-07-03,9600-6,637,,,seeded from your report,"Latest sale - Block A: 483 units, Block B: 241 units"
