week,project_key,tracker,project,unit_type,sold,seen
2026-08-14,straits-view-duo,johor,The Straits View Duo,B2,3,4
2026-08-14,straits-view-duo,johor,The Straits View Duo,C,61,108
2026-08-14,straits-view-duo,johor,The Straits View Duo,C1,2,2
2026-08-14,permas-heights,johor,Permas Heights,A,309,600
2026-08-14,permas-heights,johor,Permas Heights,B,331,600
2026-08-14,permas-heights,johor,Permas Heights,C,302,750
2026-08-14,parkland-phase-1,johor,Parkland by the River,A,129,180
2026-08-14,parkland-phase-1,johor,Parkland by the River,B,265,418
2026-08-14,parkland-phase-1,johor,Parkland by the River,C,272,480
2026-08-14,parkland-phase-2,johor,Parkland by the River,A,86,178
2026-08-14,parkland-phase-2,johor,Parkland by the River,B,177,420
2026-08-14,parkland-phase-2,johor,Parkland by the River,C,123,480
2026-08-21,straits-view-duo,johor,The Straits View Duo,A,131,378
2026-08-21,straits-view-duo,johor,The Straits View Duo,A1,4,8
2026-08-21,straits-view-duo,johor,The Straits View Duo,A2,1,2
2026-08-21,straits-view-duo,johor,The Straits View Duo,B,77,160
2026-08-21,straits-view-duo,johor,The Straits View Duo,B1,21,53
2026-08-21,straits-view-duo,johor,The Straits View Duo,B2,3,4
2026-08-21,straits-view-duo,johor,The Straits View Duo,C,63,108
2026-08-21,straits-view-duo,johor,The Straits View Duo,C1,2,2
2026-08-21,permas-heights,johor,Permas Heights,A,315,600
2026-08-21,permas-heights,johor,Permas Heights,B,334,600
2026-08-21,permas-heights,johor,Permas Heights,C,305,750
2026-08-21,parkland-phase-1,johor,Parkland by the River,A,130,180
2026-08-21,parkland-phase-1,johor,Parkland by the River,B,265,418
2026-08-21,parkland-phase-1,johor,Parkland by the River,C,272,480
2026-08-21,parkland-phase-2,johor,Parkland by the River,A,87,178
2026-08-21,parkland-phase-2,johor,Parkland by the River,B,181,420
2026-08-21,parkland-phase-2,johor,Parkland by the River,C,123,480
2026-08-28,straits-view-duo,johor,The Straits View Duo,A,132,378
2026-08-28,straits-view-duo,johor,The Straits View Duo,A1,4,8
2026-08-28,straits-view-duo,johor,The Straits View Duo,A2,1,2
2026-08-28,straits-view-duo,johor,The Straits View Duo,B,78,160
2026-08-28,straits-view-duo,johor,The Straits View Duo,B1,21,53
2026-08-28,straits-view-duo,johor,The Straits View Duo,B2,3,4
2026-08-28,straits-view-duo,johor,The Straits View Duo,C,63,108
2026-08-28,straits-view-duo,johor,The Straits View Duo,C1,2,2
2026-08-28,permas-heights,johor,Permas Heights,A,318,600
2026-08-28,permas-heights,johor,Permas Heights,B,336,600
2026-08-28,permas-heights,johor,Permas Heights,C,308,750
2026-08-28,parkland-phase-1,johor,Parkland by the River,A,130,180
2026-08-28,parkland-phase-1,johor,Parkland by the River,B,265,418
2026-08-28,parkland-phase-1,johor,Parkland by the River,C,272,480
2026-08-28,parkland-phase-2,johor,Parkland by the River,A,88,178
2026-08-28,parkland-phase-2,johor,Parkland by the River,B,182,420
2026-08-28,parkland-phase-2,johor,Parkland by the River,C,125,480
